Iteracion,Tiempo de ejecucion (ms),Paquetes entregados,Porcentaje de paquetes entregados,Paquetes no entregados
00,36624,154,81.91%,34
1,33305,157,83.51%,31
2,35048,154,81.91%,34
3,33959,157,83.51%,31
4,39121,152,80.85%,36
5,35772,155,82.45%,33
6,38319,158,84.04%,30
7,39499,151,80.32%,37
8,40825,153,81.38%,35
9,39863,158,84.04%,30
10,39590,156,82.98%,32
11,35885,152,80.85%,36
12,37113,154,81.91%,34
13,36906,157,83.51%,31
14,37271,146,77.66%,42
15,39684,156,82.98%,32
16,34159,152,80.85%,36
17,42873,157,83.51%,31
18,36699,155,82.45%,33
19,32402,149,79.26%,39
20,32489,156,82.98%,32
21,32219,153,81.38%,35
22,34542,156,82.98%,32
23,36711,155,82.45%,33
24,35865,156,82.98%,32
25,36580,156,82.98%,32
26,32821,154,81.91%,34
27,32757,153,81.38%,35
28,34001,160,85.11%,28
29,32297,151,80.32%,37
